Name,Index,RS,TS,WS,GS,AC,MT,CC
,,,,,,,,
Baby Peach,0,0,0,0,0,7,4,9
,,,,,,,,
Baby Mario,1,1,0,0,0,6,3,8
,,,,,,,,
Baby Luigi,2,0,1,0,0,6,3,8
,,,,,,,,
Baby Rosalina,3,0,0,1,1,6,3,8
,,,,,,,,
Toadette,4,2,1,1,0,5,3,7
,,,,,,,,
Toad,5,1,2,1,0,5,3,7
,,,,,,,,
Koopa Troopa,6,1,1,2,1,5,3,7
,,,,,,,,
Daisy,7,3,2,2,0,4,2,5
,,,,,,,,
Yoshi,8,2,3,2,0,4,2,5
,,,,,,,,
Bowser Jr.,9,2,2,3,1,4,2,5
,,,,,,,,
Mario,10,4,3,3,0,3,1,4
,,,,,,,,
Luigi,11,3,4,3,0,3,1,4
,,,,,,,,
Penguin,12,3,3,4,1,3,1,4
,,,,,,,,
Pauline,13,5,4,4,1,2,0,2
,,,,,,,,
King Boo,14,4,5,4,1,2,0,2
,,,,,,,,
Rosalina,15,4,4,5,2,2,0,2
,,,,,,,,
Wario,16,6,5,5,1,1,0,1
,,,,,,,,
Chargin' Chuck,17,5,6,5,1,1,0,1
,,,,,,,,
Waluigi,18,5,5,6,2,1,0,1
,,,,,,,,
Bowser,19,6,6,6,2,0,0,0
