Name,Index,RS,TS,WS,GS,AC,MT,CC
,,,,,,,,
Standard Bike,0,1,1,1,0,9,9,6
,,,,,,,,
Pipe Frame,1,2,2,2,0,8,8,5
,,,,,,,,
Loco Moto,2,4,4,4,0,6,6,5
,,,,,,,,
Standard Kart,3,5,5,5,0,5,5,4
,,,,,,,,
Blastronaut III,4,5,5,5,0,6,6,3
,,,,,,,,
W-Twin Chopper,5,7,7,7,0,3,3,4
,,,,,,,,
Reel Racer,6,8,8,8,0,2,2,3
,,,,,,,,
Junkyard Hog,7,8,8,8,0,3,3,2
,,,,,,,,
Dread Sled,8,3,9,5,0,3,3,3
,,,,,,,,
Stellar Sled,9,6,8,11,1,0,0,1
,,,,,,,,
R.O.B. H.O.G.,10,6,1,1,0,7,7,6
,,,,,,,,
Baby Blooper,11,7,2,2,0,6,6,5
,,,,,,,,
B-Dasher,12,8,4,4,0,4,4,3
,,,,,,,,
Big Horn,13,9,6,6,0,2,2,1
,,,,,,,,
Rallygator,14,9,6,6,0,3,3,0
,,,,,,,,
Rally Bike,15,0,5,0,0,8,8,6
,,,,,,,,
Biddybuggy,16,1,6,1,0,7,7,5
,,,,,,,,
Rally Kart,17,4,8,4,0,4,4,3
,,,,,,,,
Chargin' Truck,18,7,10,7,0,1,1,1
,,,,,,,,
Dolphin Dasher,19,0,0,5,1,8,8,6
,,,,,,,,
Cloud 9,20,4,4,8,1,4,4,3
,,,,,,,,
Funky Dorrie,21,4,4,8,1,5,5,2
,,,,,,,,
Mecha Trike,22,7,7,10,1,1,1,1
,,,,,,,,
Lobster Roller,23,7,7,10,1,2,2,0
