4 6
0:00.00 r
0:02.74 c
0:03.08 c
0:03.48 c
0:07.48 o
0:08.41 r
0:08.67 n
0:10.10 r
0:10.23 c
0:14.79 c
0:15.48 w
0:15.57 r
0:17.15 c
0:17.44 c
0:17.74 c
0:18.92 w
0:19.31 r
0:19.65 w
0:20.36 r
0:27.32 o
0:29.01 w
0:29.17 c
0:34.43 o
0:36.17 r
0:45.57 o
0:46.25 r
0:46.77 n
0:48.17 r
0:52.86 c
0:53.53 w
0:53.63 r
0:56.68 w
0:57.05 r
0:57.37 w
0:58.19 r
1:05.08 o
1:06.71 w
1:12.18 o
1:13.92 r
1:23.39 o
1:24.02 r
1:24.53 n
1:25.95 r
1:31.26 w
1:31.37 r
1:34.39 w
1:34.71 r
1:35.07 w
1:35.93 r
1:42.78 o
1:44.51 w
1:50.03 o
1:51.82 r
1:54.655 e
