16 13
0:00.000 r 
0:07.319 c 
0:08.043 C 
0:09.582 n 
0:10.679 r 
0:12.112 c 
0:12.639 c 
0:16.355 C 
0:18.619 C 
0:18.619 n 
0:19.833 r 
0:21.491 c 
0:22.083 c 
0:26.643 n 
0:27.992 C 
0:28.426 r 
0:29.861 C 
0:31.873 n 
0:34.645 r 
0:36.610 n 
0:38.052 C 
0:38.052 r 
0:40.554 C 
0:40.554 n 
0:41.242 c 
0:42.898 r 
0:45.421 C 
0:47.138 C 
0:47.138 n 
0:48.401 r 
0:49.486 C 
0:49.486 n 
0:50.854 r 
0:51.103 c 
0:52.638 C 
1:02.501 C 
1:02.501 n 
1:02.535 c 
1:03.122 r 
1:26.871 n 
1:30.239 r 
1:31.764 n 
1:33.359 r 
1:42.277 o 
1:43.741 r 
1:49.647 n 
1:55.449 r 
1:58.759 n 
2:01.523 r 
2:03.410 e 
