4 6
0:00:000 r 
0:02.747 c 
0:03.074 c 
0:03.468 c 
0:07.459 o 
0:08.692 n 
0:10.118 r 
0:10.181 c 
0:11.313 n 
0:14.587 c 
0:15.336 w 
0:15.383 r 
0:17.005 c 
0:17.348 c 
0:17.629 c 
0:18.794 w 
0:19.526 r 
0:27.253 o 
0:28.943 w 
0:29.075 c 
0:34.513 o 
0:36.989 r 
0:45.535 o 
0:46.772 n 
0:48.192 r 
0:49.319 n 
0:52.570 c 
0:53.046 w 
0:53.402 r 
0:56.435 w 
0:57.198 r 
1:04.849 o 
1:06.548 w 
1:12.151 o 
1:14.586 r 
1:23.135 o 
1:24.319 n 
1:25.765 r 
1:26.914 n 
1:30.618 w 
1:30.978 r 
1:33.938 w 
1:34.696 r 
1:42.365 o 
1:44.018 w 
1:49.542 o 
1:52.049 r 
1:54.001 e 
