16 11
0:00:000 r
0:03.676 n 
0:05.183 r 
0:10.193 c 
0:10.744 c 
0:11.280 c 
0:14.827 c 
0:16.671 c 
0:18.776 c 
0:21.465 g 
0:25.204 r 
0:35.368 n 
0:37.486 r 
0:38.549 w 
0:39.936 n 
0:41.426 r 
0:45.826 n 
0:47.275 r 
0:56.532 c 
0:58.380 c 
1:00.459 c 
1:03.152 g 
1:06.943 r 
1:16.970 n 
1:19.113 r 
1:19.988 w 
1:21.308 n 
1:22.862 r 
1:27.233 n 
1:28.666 r 
1:37.901 c 
1:39.747 c 
1:40.187 n 
1:41.720 r 
1:44.497 g 
1:48.297 r 
1:58.293 n 
2:00.409 r 
2:01.318 w 
2:02.762 n 
2:04.275 r 
2:05.484 e 
