16 6
0:00.000 r 
0:01.689 t 
0:03.353 r 
0:06.830 t 
0:08.529 r 
0:11.591 t 
0:14.322 r 
0:15.388 c 
0:15.845 c 
0:16.839 n 
0:19.053 r 
0:21.933 n 
0:24.275 r 
0:25.224 w 
0:26.848 r 
0:33.094 w 
0:33.832 r 
0:36.299 c 
0:39.092 c 
0:41.797 t 
0:42.692 o 
0:44.531 t 
0:44.955 r 
0:52.719 t 
0:54.350 r 
0:57.345 t 
0:58.630 n 
1:00.956 r 
1:05.685 C 
1:07.401 n 
1:09.660 r 
1:10.716 w 
1:12.320 r 
1:21.768 c 
1:24.553 c 
1:27.286 t 
1:28.198 o 
1:30.047 t 
1:30.386 r 
1:37.972 t 
1:39.660 r 
1:42.661 t 
1:43.923 n 
1:46.299 r 
1:52.713 n 
1:55.089 r 
1:55.953 w 
1:57.570 r 
2:03.542 w 
2:04.625 r 
2:12.399 t 
2:13.250 o 
2:15.057 t 
2:15.491 r 
2:17.082 e 
