12 6
0:00.000 t 
0:02.599 r 
0:03.790 C 
0:03.790 w 
0:04.924 r 
0:10.209 C 
0:10.209 t 
0:11.079 r 
0:11.172 c 
0:12.466 t 
0:13.008 r 
0:15.125 n 
0:15.805 c 
0:16.615 C 
0:16.615 r 
0:17.639 t 
0:18.047 r 
0:20.231 t 
0:21.081 w 
0:22.708 W 
0:25.120 C 
0:25.120 C 
0:25.120 o 
0:25.783 w 
0:34.580 t 
0:37.427 o 
0:38.002 t 
0:40.032 r 
0:41.032 C 
0:41.032 w 
0:42.032 r 
0:48.498 C 
0:48.498 t 
0:49.229 r 
0:50.098 C 
0:50.098 t 
0:53.414 n 
0:54.469 t 
0:54.592 r 
0:55.683 t 
0:56.031 r 
0:58.455 t 
0:59.260 w 
1:00.807 W 
1:03.231 C 
1:03.231 C 
1:03.231 o 
1:03.873 w 
1:12.606 t 
1:15.402 o 
1:15.985 t 
1:19.034 r 
1:20.034 w 
1:21.034 r 
1:26.416 t 
1:27.133 r 
1:27.976 t 
1:31.429 n 
1:32.399 t 
1:32.498 r 
1:33.557 t 
1:33.903 r 
1:36.381 t 
1:37.231 w 
1:38.927 n 
1:41.464 w 
1:50.355 t 
1:53.245 o 
1:53.893 t 
1:54.734 e 
