0 10
0:00:000 r 
0:05.261 o 
0:07.433 n 
0:10.940 r 
0:13.318 n 
0:14.413 r 
0:15.863 c 
0:19.573 C 
0:19.573 n 
0:20.175 c 
0:21.032 r 
0:23.545 c 
0:24.114 c 
0:27.701 n 
0:31.015 o 
0:31.875 r 
0:34.394 x 
0:36.008 g 
0:41.888 r 
0:47.388 o 
0:48.308 n 
0:51.836 r 
0:54.077 n 
0:55.158 r 
0:56.557 c 
1:00.323 n 
1:04.601 r 
1:07.827 n 
1:11.000 o 
1:11.941 r 
1:14.463 x 
1:16.074 g 
1:21.938 r 
1:26.188 o 
1:28.341 n 
1:31.877 r 
1:34.110 n 
1:35.094 r 
1:36.619 R 
1:40.396 n 
1:44.674 r 
1:47.898 n 
1:51.088 o 
1:51.991 r 
1:54.507 x 
1:56.164 g 
2:01.738 e 
