4 10
0:00.000 r
0:01.298 o
0:01.889 t
0:03.129 n
0:04.404 c
0:05.401 c
0:07.661 r
0:09.697 n
0:10.975 c 
0:12.440 r 
0:13.718 n 
0:13.955 c 
0:17.229 t 
0:18.985 r 
0:22.411 t 
0:23.009 c 
0:23.737 c 
0:24.452 c 
0:25.096 r 
0:26.100 t 
0:26.658 r 
0:29.845 n 
0:31.288 r 
0:32.101 t 
0:32.825 r
0:39.200 n 
0:43.628 r 
0:45.600 n 
0:48.005 r 
0:49.378 n 
0:52.946 t 
0:54.800 r 
1:01.222 t 
1:01.931 r 
1:05.090 n 
1:06.535 r 
1:07.363 t 
1:08.124 r 
1:14.463 n 
1:18.915 r 
1:20.828 n 
1:23.275 r 
1:24.566 n 
1:28.150 t 
1:30.025 r 
1:36.488 t 
1:37.163 r 
1:40.337 n 
1:41.792 r 
1:42.598 t 
1:43.370 r 
1:46.623 n 
1:47.414 e
