16 13
0:00.000 r 
0:03.754 n 
0:05.064 r 
0:06.861 c 
0:14.410 c 
0:26.658 c 
0:26.699 g 
0:31.675 r 
0:32.504 c 
0:43.582 c 
0:52.865 c 
0:53.141 c 
0:55.620 c 
0:59.000 g 
1:10.638 w 
1:15.261 o 
1:18.495 C 
1:18.495 C 
1:18.495 C 
1:21.674 w 
1:22.030 c 
1:22.732 c 
1:25.381 r 
1:32.841 c 
1:33.240 c 
1:33.594 c 
1:43.143 c 
1:43.381 c 
1:48.410 x 
2:02.002 r 
2:08.347 c 
2:08.793 c 
2:15.812 n 
2:16.785 r 
2:25.219 n 
2:27.143 r 
2:39.872 g 
2:55.407 r 
3:22.030 g 
3:28.473 r 
3:30.385 n 
3:34.478 r 
3:43.712 n 
3:46.069 r 
3:49.629 g 
3:53.608 e 
