4 10
0:00:000 w 
0:02.993 r 
0:03.775 w 
0:04.472 r 
0:09.128 n 
0:10.202 r 
0:12.946 n 
0:14.065 r 
0:14.622 c 
0:15.277 c 
0:17.431 C 
0:17.431 n 
0:17.641 c 
0:20.591 r 
0:22.008 C 
0:22.008 w 
0:22.937 n 
0:24.393 r 
0:26.975 c 
0:27.263 c 
0:27.540 c 
0:28.565 g 
0:34.178 n 
0:39.008 r 
0:47.252 n 
0:48.383 r 
0:51.070 n 
0:52.188 r 
0:55.323 n 
0:58.676 r 
0:59.797 w 
1:00.715 n 
1:02.133 r 
1:05.005 W 
1:05.575 r 
1:05.972 g 
1:11.608 n 
1:16.454 r 
1:24.732 n 
1:25.881 r 
1:28.563 n 
1:29.644 r 
1:32.775 n 
1:36.179 r 
1:37.313 w 
1:38.199 n 
1:39.633 r 
1:42.555 W 
1:43.103 r 
1:43.491 g 
1:49.197 n 
1:53.321 r 
1:54.534 e 
