0 10
0:00:000 r 
0:01.712 n 
0:04.279 r 
0:04.941 n 
0:07.446 r 
0:07.904 n 
0:08.725 r 
0:08.808 n 
0:10.219 c 
0:11.598 c 
0:13.085 c 
0:15.100 r 
0:15.668 o 
0:17.256 r 
0:18.091 c 
0:20.624 c 
0:20.865 n 
0:22.941 r 
0:23.039 n 
0:26.893 c 
0:33.824 r 
0:34.464 o 
0:34.582 r 
0:36.606 n 
0:41.981 r 
0:42.442 n 
0:43.265 r 
0:43.312 n 
0:44.656 c 
0:45.961 c 
0:47.440 c 
0:49.589 r 
0:50.095 o 
0:51.491 r 
0:55.161 n 
0:56.912 r 
0:57.135 n 
1:07.993 r 
1:08.626 o 
1:08.713 r 
1:10.724 n 
1:16.082 r 
1:16.519 n 
1:23.601 r 
1:24.080 o 
1:25.522 r 
1:29.114 n 
1:31.173 r 
1:31.346 n 
1:43.723 e 
