19 6
0:00:000 c 
0:00:000 c 
0:00:000 c 
0:00:000 c 
0:00:000 c 
0:00:000 r 
0:06.433 w 
0:14.350 c 
0:19.166 t 
0:27.316 r 
0:31.133 C 
0:31.133 C 
0:31.133 w 
0:33.666 t 
0:36.233 w 
0:38.700 R 
0:40.266 w 
0:49.200 r 
0:50.533 C 
0:50.533 C 
0:50.533 w 
0:54.966 C 
0:54.966 C 
1:03.566 t 
1:05.683 c 
1:06.533 c 
1:07.316 c 
1:10.266 o 
1:12.800 r 
1:17.033 c 
1:25.366 c 
1:37.400 c 
1:37.633 c 
1:37.866 c 
1:39.766 t 
1:42.633 r 
1:47.200 t 
2:11.000 r 
2:12.300 t 
2:19.600 r 
2:20.433 t 
2:21.166 r 
2:27.800 n 
2:33.666 r 
3:00.366 t 
3:01.633 o 
3:03.200 t 
3:03.966 r 
3:06.900 t 
3:08.750 r 
3:11.900 t 
3:12.466 r 
3:15.833 n 
3:18.500 o 
3:18.733 r 
3:29.300 n 
3:39.100 r 
3:48.700 n 
3:51.916 r 
3:54.300 n 
3:55.983 r 
4:01.400 n
4:03.800 h  
4:03.800 r 
4:08.000 o 
4:09.500 n 
4:12.366 r 
4:20.800 c 
4:21.033 c 
4:21.900 c 
4:25.666 t 
4:31.466 r 
4:34.733 t 
4:36.933 r 
5:13.266 n 
5:16.700 t 
5:41.066 r 
5:44.600 sh 
5:54.666 c 
5:54.900 c 
6:17.983 t 
6:40.133 r 
7:18.300 t 
7:37.700 x 
7:43.733 g 
7:44.933 r 
7:49.866 n 
7:56.533 r 
8:02.700 x 
8:07.633 g 
8:08.066 r 
8:20.600 g 
8:24.200 r 
8:29.166 g 
8:31.400 r 
8:34.300 e 
