19 6
0:00:000 c 
0:00:000 c 
0:00:000 c 
0:00:000 c 
0:00:000 c 
0:00:000 r 
0:11.300 t 
0:16.700 c 
0:21.066 c 
0:25.100 C 
0:25.100 C 
0:25.266 c 
0:27.816 c 
0:30.233 c 
0:30.383 c 
0:34.833 c 
0:35.383 c 
0:35.883 c 
0:37.183 c 
0:37.300 c 
0:39.350 r 
0:39.966 c 
0:43.800 n 
0:47.500 c 
1:07.516 r 
1:11.033 t 
1:12.016 r 
1:12.433 t 
1:13.750 r 
1:16.933 n 
1:18.683 r 
1:19.916 o 
1:21.816 t 
1:22.033 r 
1:27.416 t 
1:29.083 r 
1:34.233 t 
1:36.783 r 
1:38.066 n 
1:41.466 r 
1:44.750 t 
1:45.250 r 
1:45.550 t 
1:50.683 r 
1:51.116 t 
1:53.483 o 
1:53.866 r 
1:54.950 n 
1:56.683 t 
1:58.683 r 
2:10.550 t 
2:22:650 r 
2:30.833 t 
2:42.083 r 
2:43.833 w 
2:44.516 t 
2:54.583 r 
2:56.533 t 
2:58.466 r 
3:01.133 t 
3:10.183 r 
3:11.150 t 
3:18.816 r 
3:19.850 n 
3:21.483 o 
3:22.516 t 
3:33.366 r 
3:34.333 t 
4:02.250 r 
4:03.633 t 
4:33.733 r 
5:18.183 o 
5:21.966 r 
5:28.066 t 
5:31.083 r 
6:05.233 t 
6:06.233 r 
6:07.266 t 
6:09.100 o 
6:09.633 n 
6:12.333 t 
6:52.033 w 
6:56.450 r 
7:03.216 n 
7:05.716 r 
7:14.516 n 
7:16.366 g 
7:21.350 t 
7:25.516 n 
7:28.600 t 
7:31.283 n 
7:34.933 t 
7:36.550 r 
7:37.500 n 
7:42.866 r 
7:45.050 e 
