10 11
0:00:000 r
0:03.683 n 
0:05.133 r 
0:01.233 c 
0:10.750 c 
0:11.300 c 
0:14.855 c 
0:16.733 c 
0:18.816 c 
0:21.500 n 
0:25.066 r 
0:35.433 N 
0:37.483 R 
0:38.283 W 
0:39.783 N 
0:41.400 R 
0:45.800 N 
0:47.250 R 
0:56.500 c 
0:58.332 c 
1:00.433 c 
1:03.150 n 
1:06.666 r 
1:17.033 n 
1:19.083 r 
1:19.883 w 
1:21.333 n 
1:22.916 r 
1:27.333 n 
1:28.766 r 
1:38.000 c 
1:39.816 c 
1:40.266 n 
1:41.816 r 
1:41.600 n 
1:48.066 r 
1:58.416 n 
2:00.516 r 
2:01.200 w 
2:02.632 n 
2:04.250 r 
2:05.564 e 
