16 6
0:00:000 r 
0:01.676 t 
0:03.395 r 
0:06.886 t 
0:08.580 r 
0:11.680 t 
0:14.451 r 
0:15.550 c 
0:16.005 c 
0:22.208 n 
0:24.605 r 
0:25.524 w 
0:27.139 r 
0:33.255 w 
0:34.278 r 
0:36.645 c 
0:39.457 c 
0:42.175 t 
0:43.076 o 
0:44.930 t 
0:45.287 r 
0:48.915 o 
0:49.165 r 
0:52.974 t 
0:54.649 r 
0:57.754 t 
1:00.270 r 
1:01.588 c 
1:07.990 n 
1:10.296 r 
1:11.291 w 
1:12.888 r 
1:22.361 c 
1:25.136 c 
1:27.896 t 
1:28.751 o 
1:30.611 t 
1:30.944 r 
1:34.574 o 
1:34.824 r 
1:38.558 t 
1:40.205 r 
1:43.275 t 
1:46.019 r 
1:53.446 n 
1:55.842 r 
1:56.741 w 
1:58.351 r 
2:04.169 w 
2:05.351 r 
2:13.265 t 
2:14.216 o 
2:16.041 t 
2:16.356 r 
2:17.953 e 
