12 6
0:00:000 t 
0:02.576 r 
0:02.699 c 
0:03.781 w 
0:04.911 r 
0:09.359 c 
0:10.181 t 
0:11.031 r 
0:11.126 c 
0:12.418 t 
0:12.921 r 
0:15.055 n 
0:15.742 c 
0:16.153 c 
0:16.546 r 
0:17.554 t 
0:17.970 r 
0:20.147 t 
0:20.944 w 
0:22.815 n 
0:25.410 w 
0:34.424 t 
0:37.187 o 
0:37.789 t 
0:40.831 r 
0:40.900 c 
0:41.831 w 
0:43.349 r 
0:47.496 c 
0:48.348 t 
0:49.072 r 
0:49.175 c 
0:49.933 t 
0:53.200 n 
0:54.333 t 
0:54.457 r 
0:55.523 t 
0:55.877 r 
0:58.325 t 
0:59.001 w 
1:00.866 n 
1:03.436 w 
1:12.402 t 
1:15.180 o 
1:15.757 t 
1:17.877 r 
1:18.877 w 
1:19.877 r 
1:26.326 t 
1:27.053 r 
1:27.906 t 
1:31.193 n 
1:32.331 t 
1:31.429 r 
1:33.492 t 
1:33.845 r 
1:36.311 t 
1:37.037 w 
1:38.878 n 
1:41.447 w 
1:50.414 t 
1:53.288 o 
1:53.939 t 
1:54.764 e
