16 13
0:00.000 r 
0:03.853 n 
0:05.137 r 
0:07.773 C 
0:14.428 c 
0:26.676 g 
0:26.710 c 
0:31.872 r 
0:32.764 c 
0:44.993 C 
0:53.096 c 
0:53.394 c 
0:55.930 c 
0:59.829 g 
1:10.985 w 
1:19.674 C 
1:19.674 C 
1:19.674 C 
1:24.703 c 
1:25.098 c 
1:31.225 c 
1:31.540 c 
1:35.189 c 
1:35.613 c 
1:35.963 c 
1:42.522 O 
1:44.008 r 
1:45.551 c 
1:45.800 c 
1:50.775 x 
2:04.337 r 
2:09.154 o 
2:10.715 r 
2:16.990 n 
2:19.537 r 
2:25.724 n 
2:27.448 r 
2:40.432 g 
2:55.666 r 
3:22.191 g 
3:28.852 r 
3:30.415 n 
3:34.542 r 
3:43.771 n 
3:46.135 r 
3:49.691 g 
3:53.693 e 
