4 10
0:00.000 w
0:02.905 r 
0:03.765 w 
0:04.569 r 
0:09.103 n 
0:10.247 r 
0:12.927 n 
0:14.045 r 
0:14.611 c 
0:15.255 c 
0:17.397 c 
0:17.404 n 
0:17.623 c 
0:20.678 r 
0:21.711 c 
0:22.014 w 
0:22.907 n 
0:24.283 r 
0:28.532 n 
0:38.947 r 
0:47.173 n 
0:48.351 r 
0:50.974 n 
0:52.078 r 
0:55.175 n 
0:58.606 r 
0:59.705 w 
1:00.637 n 
1:02.065 r 
1:04.996 w 
1:05.557 r 
1:06.068 n 
1:16.515 r 
1:24.721 n 
1:25.947 r 
1:28.598 n 
1:29.697 r 
1:32.865 n 
1:36.231 r 
1:37.336 w 
1:38.241 n 
1:39.602 r 
1:42.615 w 
1:43.179 r 
1:43.586 n 
1:52.673 r 
1:54.614 e
