19 6
0:00.000 t 
0:00.716 R 
0:02.400 w 
0:03.250 t 
0:03.450 t 
0:05.457 T 
0:05.766 w 
0:07.733 r 
0:08.983 w 
0:09.816 t 
0:10.466 R 
0:10.733 c 
0:14.116 t 
0:15.883 t 
0:16.133 c 
0:17.800 T 
0:18.683 r 
0:19.383 c 
0:20.700 t 
0:22.600 t 
0:23.733 T 
0:28.100 n 
0:29.166 r 
0:30.166 t 
0:32.733 T 
0:33.316 c 
0:36.933 c 
0:41.333 r 
0:42.183 t 
0:42.900 w 
0:43.816 t 
0:45.666 T 
0:45.966 w 
0:47.833 r 
0:49.100 w 
0:49.900 t 
0:50.383 R 
0:50.766 c 
0:54.116 t 
0:55.866 t 
0:57.800 T 
0:58.745 r 
1:00.716 t 
1:02.650 t 
1:03.700 T 
1:08.050 n 
1:09.116 r 
1:10.066 t 
1:16.816 c 
1:21.183 R 
1:22.033 t 
1:22.683 w 
1:23.666 t 
1:25.583 T 
1:25.883 w 
1:27.750 r 
1:29.100 w 
1:29.900 t 
1:30.383 R 
1:34.133 t 
1:35.876 t 
1:37.833 T 
1:38.750 r 
1:40.683 t 
1:42.583 t 
1:43.683 T 
1:48.050 n 
1:49.100 r 
1:50.016 t 
2:00.996 e 
