11 18
0:00:000 t 
0:05.253 c 
0:09.870 c 
0:11.630 c 
0:13.077 r 
0:13.240 n 
0:18.442 r 
0:20.690 o 
0:22.616 t 
0:24.935 c 
0:25.152 r 
0:25.333 t 
0:26.442 r 
0:26.744 c 
0:28.178 t 
0:31.603 r 
0:33.486 t 
0:40.713 n 
0:42.049 t 
0:43.973 n 
0:45.932 t 
0:47.919 n 
0:53.145 r 
0:55.353 o 
0:57.220 t 
1:00.929 r 
1:01.201 c 
1:02.642 t 
1:06.078 r 
1:07.972 t 
1:15.066 n 
1:16.495 t 
1:18.425 n 
1:20.331 t 
1:22.379 n 
1:27.519 r 
1:29.708 o 
1:31.568 t 
1:35.370 r 
1:37.096 t 
1:40.514 r 
1:42.407 t 
1:44.300 e
