0 10
0:00:000 t 
0:02.435 r 
0:08.398 c 
0:09.108 c 
0:11.279 n 
0:13.353 o 
0:15.164 r 
0:18.960 n 
0:22.620 t 
0:23.986 N 
0:24.148 c 
0:26.747 t
0:27.506 o 
0:28.745 t 
0:30.626 r 
0:32.040 t 
0:33.103 r 
0:35.145 t 
0:36.214 o 
0:38.195 t 
0:41.588 r 
0:50.315 n 
0:52.411 o 
0:54.254 r 
0:58.025 n 
1:01.698 t 
1:03.113 N 
1:05.810 t 
1:06.702 o 
1:07.751 t 
1:09.715 r 
1:11.130 t 
1:12.198 r 
1:14.302 t 
1:15.301 o 
1:17.192 t 
1:20.734 r
1:29.442 n 
1:31.476 o 
1:33.372 r 
1:37.400 n 
1:40.989 t 
1:42.351 N 
1:45.130 t 
1:45.914 o 
1:47.075 t 
1:49.018 r 
1:50.436 t 
1:51.510 r 
1:53.596 t 
1:54.644 o 
1:56.531 t 
1:58.265 e
