19 6
0:00:000 t 
0:04.839 c 
0:05.038 c 
0:06.802 w 
0:07.432 T 
0:08.331 w 
0:09.149 t 
0:09.377 c 
0:10.533 n 
0:11.933 o 
0:12.100 t 
0:12.523 c 
0:12.929 c 
0:24.252 w 
0:25.078 T 
0:25.994 w 
0:26.770 t 
0:28.210 n 
0:29.599 o 
0:29.779 t 
0:42.182 w 
0:42.776 T 
0:43.747 w 
0:44.545 t 
0:45.903 n 
0:47.360 o 
0:47.528 t 
0:48.770 o 
0:50.390 t 
0:58.960 w 
0:59.520 T 
1:00.482 w 
1:01.268 t 
1:02.710 n 
1:04.064 o 
1:04.300 t 
1:05.529 o 
1:07.140 t 
1:15.878 w 
1:16.347 T 
1:17.278 w 
1:18.112 t 
1:19.508 n 
1:20.950 o 
1:21.114 t 
1:22.311 o 
1:23.925 t 
1:26.477 e
