17 8
0:00:000 t 
0:03.519 n 
0:07.114 c 
0:09.080 t 
0:12.427 c 
0:15.595 o 
0:16.115 t 
0:21.159 r 
0:21.368 c 
0:23.039 c 
0:23.577 o 
0:25.899 r 
0:28.289 t 
0:33.565 n 
0:35.113 t 
0:39.573 r 
0:40.053 t 
0:41.163 n 
0:45.592 c 
0:47.543 t 
0:50.997 c 
0:54.090 o 
0:54.612 t 
0:59.523 r 
1:00.244 n 
1:01.248 o 
1:03.706 r 
1:05.745 t 
1:10.911 n 
1:12.408 t 
1:16.793 r 
1:17.417 t 
1:19.777 n 
1:23.086 c 
1:25.027 t 
1:28.419 c 
1:36.495 r 
1:37.190 n 
1:38.182 o 
1:40.623 r 
1:42.633 t 
1:47.761 n 
1:49.321 t 
1:53.442 e
