19 6
0:00:000 r 
0:08.775 c 
0:09.188 c 
0:12.880 t 
0:15.556 w 
0:16.258 c 
0:17.781 c 
0:17.889 c 
0:18.007 c 
0:18.668 t 
0:21.316 r 
0:22.618 t 
0:25.830 r 
0:25.980 o 
0:28.293 r 
0:29.448 c 
0:29.945 c 
0:39.372 c 
0:43.397 c 
0:46.004 n 
0:47.119 r 
0:49.577 c 
0:54.813 c 
0:54.945 c 
0:56.127 n 
0:56.581 c 
0:57.992 r 
0:58.450 n 
1:02.258 c
1:02.258 c
1:02.258 c
1:07.072 c 
1:07.072 c 
1:07.072 c 
1:08.335 r 
1:10.524 w 
1:18.115 n 
1:20.541 r 
1:22.426 w 
1:28.938 n 
1:30.071 r 
1:30.490 w 
1:33.890 t 
1:35.488 r 
1:40.139 e
