0 10
0:00.000 r 
0:01.346 o 
0:01.949 n 
0:03.308 C 
0:06.511 C 
0:10.301 r 
0:11.746 c 
0:12.266 c 
0:12.656 c 
0:16.706 c 
0:17.138 c 
0:17.747 n 
0:18.714 r 
0:20.777 n 
0:23.461 r 
0:25.125 n 
0:25.785 C 
0:26.996 C 
0:27.804 C 
0:27.804 r 
0:29.476 g 
0:32.286 r 
0:33.880 o 
0:35.320 r 
0:35.953 c 
0:36.871 n 
0:46.824 r 
1:02.232 n 
1:04.068 r 
1:05.783 g 
1:08.544 r 
1:10.136 o 
1:11.600 r 
1:13.232 n 
1:23.124 r 
1:38.540 n 
1:40.390 r 
1:42.100 g 
1:44.909 r 
1:46.527 o 
1:47.968 r 
1:50.363 e 
