16 12
0:00:000 r 
0:02.210 n 
0:02.609 c 
0:03.129 c 
0:03.939 r 
0:04.014 c 
0:05.178 c 
0:06.703 c 
0:07.497 n 
0:07.718 c 
0:09.060 r 
0:09.426 o 
0:11.518 r 
0:12.372 c 
0:17.270 n 
0:18.269 c 
0:19.778 c 
0:20.978 r 
0:21.165 c 
0:22.181 c 
0:23.023 c 
0:24.685 c 
0:25.594 n 
0:26.708 r 
0:28.890 n 
0:33.178 r 
0:34.863 c 
0:36.030 c 
0:40.066 n 
0:41.566 r 
0:41.816 c 
0:42.816 c 
0:45.563 n 
0:47.116 r 
0:47.431 o 
0:49.495 r 
0:56.622 n 
0:58.288 r 
0:58.655 c 
0:59.800 c 
1:02.097 c 
1:02.806 n 
1:04.211 r 
1:06.411 n 
1:10.557 r 
1:16.970 n 
1:18.970 r 
1:22.540 n 
1:24.068 r 
1:24.352 o 
1:26.377 r 
1:32.020 n 
1:34.270 r 
1:39.780 n 
1:41.019 n 
1:43.174 n 
1:47.335 r 
1:52.758 e 
