4 6
0:00.000 t  
0:04.466 C 
0:04.466 n 
0:06.516 t 
0:06.616 r 
0:07.500 n 
0:17.316 t 
0:18.416 R 
0:19.966 t 
0:20.200 r 
0:21.266 C 
0:21.683 t 
0:23.216 r 
0:24.233 c 
0:24.783 n 
0:29.333 r 
0:34.616 t 
0:35.250 r 
0:36.183 o 
0:37.100 r 
0:38.333 t 
0:43.900 n 
0:46.066 t 
0:46.250 r 
0:47.416 n 
0:57.000 t 
0:58.066 R 
0:59.566 t 
0:59.933 R 
1:01.083 t 
1:02.766 r 
1:04.266 n 
1:09.016 r 
1:14.333 t 
1:14.933 r 
1:15.883 o 
1:16.816 r 
1:17.983 t 
1:23.566 n 
1:25.733 t 
1:25.950 r 
1:27.083 n 
1:36.683 t 
1:37.750 R 
1:39.250 t 
1:39.616 R 
1:40.766 t 
1:42.383 r 
1:44.000 n 
1:48.716 r 
1:54.016 t 
1:54.650 r 
1:55.566 o 
1:56.500 r 
1:57.650 t 
1:59.882 e 
