19 6
0:00:000 r 
0:09.598 o 
0:09.726 w 
0:11.358 R 
0:11.792 c 
0:11.815 c 
0:13.212 w 
0:19.892 n 
0:23.416 w 
0:25.623 r 
0:32.331 n 
0:34.122 r 
0:36.644 n 
0:36.923 c 
0:37.362 c 
0:38.791 c 
0:39.216 c 
0:40.924 r 
0:44.989 n 
0:47.930 r 
0:54.870 o 
0:55.035 w 
0:56.639 R 
0:57.029 c 
0:58.404 w 
1:05.030 n 
1:08.862 w 
1:11.035 r 
1:17.686 n 
1:19.397 r 
1:22.621 n 
1:24.877 w 
1:25.571 r 
1:30.121 n 
1:33.067 r 
1:40.086 o 
1:40.159 w 
1:41.668 R 
1:43.469 w 
1:50.148 n 
1:53.890 w 
1:56.564 r 
2:02.700 n 
2:04.336 r 
2:07.639 n 
2:09.850 w 
2:10.590 r 
2:15.243 n 
2:16.100 e
